data_id,data_category,example,source,purpose,component,transient_or_persistent,storage_location,encrypted,retention,access_roles,external_transfer,deletion_path,privacy_risk,evidence
PD-012,Routine email body,"visible message text",content script,model/indicator/fusion and contextual review,extension platform and detector,transient,"request memory; transient_detections; detector process cache",not stored routinely,platform transient 600 seconds default; detector cache 300 seconds,matching user/device only,detector and redacted bounded Gemini context,TTL LRU process restart device revoke,high,"transient_context.py; backend/server.py; main.py:remote_email_detection"
PD-013,Email provider and authentication observations,"gmail plus DKIM domain/status",content script provider UI,analysis contextual evidence,extension platform and detector,"activity provider; transient context; session state",provider plaintext / transient metadata,activity 90 days; transient 600 seconds default,owner; authenticated processing,detector and allowlisted cloud fields,activity cleanup / transient TTL,medium,"sender-authentication.js; authentication.py:minimize_authentication"
PD-014,Detection metadata,"outcome cloud status duration opaque IDs",completed detection,history explanation and operations,public platform,persistent,activity_events,plaintext except content fields,90 days,owner and aggregate administrator,cloud status not raw payload,activity cleanup,low,"models.py:ActivityEvent; main.py:cleanup_expired"
PD-015,Input and content fingerprints,"HMAC/SHA-256 digest",server and detector,duplicate prevention cache matching and scope binding,platform and detector,persistent and transient,"activity_events; report/sample tables; process caches",keyed HMAC in platform or SHA-256 in detector,activity 90 days; cache 300/600 seconds,system only,none,table cleanup/TTL,medium,"security.py:blind_index; llm/cache.py"
PD-016,Explicit email report,"provider sender subject body",user confirmation or extension feedback,administrator review and future training candidate,public platform,persistent,"email_reports; possibly email_training_candidates",AES-256-GCM body sender and subject,report 90 days; approved candidate retention not defined,owner and administrator metadata views; body not exposed by APIs,none,report cleanup only; no candidate deletion route,high,"main.py:create_email_report/review_email_report; models.py:EmailReport"
PD-017,Automatic training sample,"selected full URL or email content",opted-in completed detection,future model improvement,public platform,persistent,automatic_training_samples,AES-256-GCM,90 days,administrator inventory/export metadata; body unavailable,none,opt-out deletes user samples; retention cleanup,high,"main.py:_automatic_sample/update_training_consent/cleanup_expired"
PD-018,Cloud email context,"redacted bounded sender subject and body",automatic email detection/direct review/explanation,contextual assessment,detector or platform to Gemini,transient,"provider request; result cache contains validated result only",redaction before transfer; not encryption at rest,provider retention not assessable; local cache 600 seconds,backend/provider,Google Gemini,local process TTL; provider deletion not assessable,high,"backend/llm/redaction.py; shared_platform/app/cloud.py"
PD-019,Cloud URL context,"origin hostname model signal",suspicious local URL result,contextual URL assessment,detector or platform to Gemini,transient,"provider request; result cache",origin minimized,provider retention not assessable; local cache 600 seconds,backend/provider,Google Gemini,local process TTL; provider deletion not assessable,medium,"prepare_url_cloud_payload; main.py:url_cloud_review"
PD-020,Pasted message,"user-pasted up to 10k characters",explicit web user action,one-time Cloud AI message review,public platform to Gemini,transient,request/provider boundary only,redacted before transfer,no platform persistence; provider retention not assessable,authenticated submitting user/provider,Google Gemini,no storage path; provider deletion not assessable,high,"schemas.py:PastedMessageReviewRequest; cloud.py:review_pasted_message"
PD-021,Security event metadata,"opaque principal ID and allowlisted event code",security-sensitive application operations,incident telemetry,platform logs,operational logging,container/log sink,opaque keyed identifier; no raw content,log retention not defined,operators,log platform if configured,not defined,"security_events.py"
PD-022,Rate limiting counters,"HMAC key hash timestamps count",request handling,abuse protection,public platform,persistent,rate_limit_buckets,HASHED blind index,one day enforced,platform only,none,startup/daily cleanup,low,"rate_limit.py; main.py:cleanup_expired"
