method,path,component,auth_required,auth_type,role,csrf,rate_limit,input_limit,sensitive_data,security_notes
POST,/api/v1/url-reports,public-platform,yes,cookie session,user,yes,none,strict URL report request,encrypted submitted full URL,Explicit report only
POST,/api/v1/url-reports/from-activity,public-platform,yes,cookie session,user,yes,none,strict activity feedback request,own activity/report metadata,Exact activity owner binding
POST,/api/v1/url-reports/from-device-activity,public-platform,yes,device bearer,paired device,no,none,strict device feedback request,own activity/report metadata,Exact device/event binding
POST,/api/v1/email-reports/from-device-activity,public-platform,yes,device bearer,paired device,no,none,strict device email feedback request,encrypted email body if explicit,Exact device/event binding; report body never returned
GET,/api/v1/url-reports,public-platform,yes,cookie session,user,no,none,bounded pagination,own URL reports,Owner filter
POST,/api/v1/email-reports,public-platform,yes,cookie session,user,yes,none,strict email report request,encrypted email body,Explicit confirmed report
GET,/api/v1/email-reports,public-platform,yes,cookie session,user,no,none,bounded pagination,own email metadata/no body,Owner filter and body excluded
GET,/api/v1/dashboard,public-platform,yes,cookie session,user,no,none,days 7/30/90,own aggregate/activity data,Owner filtered
GET,/api/v1/protection-status,public-platform,yes,cookie session,user,no,none,none,own device/readiness state,Owner scoped
POST,/api/v1/cloud-review/email,public-platform,yes,device bearer,paired device,no,120/credential per 5m,strict direct cloud request; context max 7000,untrusted redacted email context,Server re-redacts before provider
POST,/api/v1/activities/{activity_id}/explanation,public-platform,yes,cookie session,user,yes,20/credential per 5m,UUID path,owner activity and temporary context,Owner and device-context checks
POST,/api/v1/detections/{detection_id}/explanation,public-platform,yes,device bearer,paired device,no,20/credential per 5m,UUID path,own temporary context,Exact device binding
POST,/api/v1/cloud-review/activity-explanation,public-platform,yes,cookie session,user,yes,120/credential per 5m,strict explanation request,redacted transient context,Compatibility route; rate middleware applies
POST,/api/v1/cloud-review/activity-explanation-fallback,public-platform,yes,cookie session,user,yes,120/credential per 5m,strict fallback request,minimized activity context,No stored email body
POST,/api/v1/message-review,public-platform,yes,cookie session,user,yes,20/credential per 5m,strict pasted message max 10000,redacted explicit message,No persistence; fake provider tests only
POST,/api/v1/cloud-review/url,public-platform,yes,device bearer,paired device,no,120/credential per 5m,strict exact origin request,minimized URL origin,Only local RF warning accepted; no fetch
GET,/api/v1/admin/dashboard,public-platform,yes,cookie session,admin,no,none,bounded days,aggregate operational metrics,Server-side admin dependency
GET,/api/v1/admin/training-data,public-platform,yes,cookie session,admin,no,none,bounded pagination/filter enum,training candidate metadata,No encrypted email body decrypted
GET,/api/v1/admin/training-data/export.csv,public-platform,yes,cookie session,admin,no,none,required candidate type/filter enum,training candidate export,CSV formula protection and no email body
GET,/api/v1/admin/training-data/automatic-export.csv,public-platform,yes,cookie session,admin,no,none,required sample type,automatic sample manifest or URL,Email body withheld
GET,/api/v1/admin/url-reports,public-platform,yes,cookie session,admin,no,none,bounded pagination/filter enums,all URL reports,Admin only
PATCH,/api/v1/admin/url-reports/{report_id},public-platform,yes,cookie session,admin,yes,none,UUID plus strict review request,report/training state,No self-review; idempotency conflict protected
GET,/api/v1/admin/email-reports,public-platform,yes,cookie session,admin,no,none,bounded pagination/filter enums,email report metadata/no body,Admin only; no body decryption
PATCH,/api/v1/admin/email-reports/{report_id},public-platform,yes,cookie session,admin,yes,none,UUID plus strict review request,email report/training state,No self-review
GET,/api/v1/admin/users,public-platform,yes,cookie session,admin,no,none,bounded pagination/search/status,all user metadata,Admin only
PATCH,/api/v1/admin/users/{user_id}/status,public-platform,yes,cookie session,admin,yes,none,UUID plus status enum,user session/device status,Cannot self-suspend or change admin account
GET,/live,private-detector,network-only,none,internal,no,none,none,detector version,Private network only; liveness route
GET,/health,private-detector,network-only,none,internal,no,none,none,model/cloud configuration,Private network only; no key returned
GET,/ready,private-detector,yes,internal shared key,platform gateway,no,none,none,model/readiness state,Remote mode requires X-BantAI-Internal-Key
POST,/analyze-url,private-detector,yes,internal shared key,platform gateway,no,platform device limit upstream,strict URL max 8192,raw URL transiently,Static analysis only; no target HTTP request
POST,/analyze-email,private-detector,yes,internal shared key,platform gateway,no,platform device limit upstream,strict email fields,raw email transiently,Private server model endpoint
POST,/analyze-hybrid-email,private-detector,yes,internal shared key,platform gateway,no,platform device limit upstream,strict hybrid email fields,raw email transiently/redacted cloud,Private server model endpoint
GET,/companion/status,private-detector,network-only,none,internal,no,none,none,local companion state,Legacy/local companion route; detector must remain private
GET,/connection-status,private-detector,network-only,none,internal,no,none,none,local readiness state,Legacy/local companion route
POST,/companion/pair,private-detector,network-only,pairing code,internal,no,none,strict pairing request,device credential,Legacy/local companion route
POST,/companion/unpair,private-detector,network-only,local state,internal,no,none,no body,local credential state,Legacy/local companion route
POST,/companion/activity,private-detector,network-only,local state,internal,no,none,strict activity request,activity metadata,Legacy/local companion route
POST,/companion/detail-context,private-detector,yes,internal shared key,platform gateway,no,none,strict detail context,temporary raw context,Remote key required
POST,/companion/activity-explanation,private-detector,yes,internal shared key,platform gateway,no,none,strict activity reference,temporary raw context,Remote key required
POST,/companion/url-feedback,private-detector,yes,internal shared key,platform gateway,no,none,strict feedback request,feedback metadata,Remote key required
POST,/companion/email-feedback,private-detector,yes,internal shared key,platform gateway,no,none,strict feedback request,encrypted report input,Remote key required
POST,/companion/training-sample,private-detector,yes,internal shared key,platform gateway,no,none,strict sample request,encrypted training input,Remote key required
