requirement_id,module,requirement,implementation,test,result,evidence,finding_id
EMAIL-F03,Email Extraction,Extraction failure never becomes a safe result,worker state machine and popup display guards,test_url_display.UrlDisplayTests.test_only_completed_fusion_can_be_displayed; project invariants,PASS,"Only completed supported outcomes render as final results",
NLP-F01,NLP Detection,Frozen XLM-R preprocessing/model/calibration contract is retained,backend/email_model.py and model manifest,verify_models.py; test_email_model_calibrated.CalibratedEmailArtifactTests.*; test_email_model_manifest.EmailModelManifestTests.*,PASS,"Model identity, temperature 2.2198894341340183, threshold 0.6923658179915227, max 512, and head/tail preprocessing pass",
IND-F01,Indicator Engine,Implemented social-engineering markers return evidence and context,backend/scam_indicator_engine.py,test_indicator_engine.IndicatorEngineTests.*; test_activity_explanation,PASS,"OTP, payment, protective-context, incoming-transfer, and Taglish cases covered",
FUSION-F01,Email Fusion,Deterministic Rules A-H combine local evidence and cloud without LLM-only red,backend/fusion_engine.py,test_fusion_engine.FusionEngineTests.*; test_hybrid_partial_failure,PASS,"Clean, disagreement, corroborated warning, cloud unavailable, and safe-mail independence covered",
CLOUD-F01,Cloud Review,Cloud payloads are redacted/minimized and schema validated,backend/llm and shared_platform/app/cloud.py,test_redaction.RedactionTests.*; test_llm_schema.LLMSchemaTests.*; test_llm_cache.LLMCacheTests.*; test_remote_provider.RemotePlatformProviderTests.*,PASS,"Mock providers cover valid/malformed/exception/unavailable/cache paths; no real LLM call",
CLOUD-F02,Cloud Review,Cloud failure remains distinct from completed safe state,popup worker and web activity views,test_project_invariants.ProjectInvariantTests.test_automatic_email_popup_waits_for_complete_cloud_result; test_url_display,PASS,"Automatic popup requires complete assessment; unavailable result remains explicit",
EXT-F01,Extension,Release extension must use non-loopback HTTPS endpoint,extension/config.js manifest and release verifier,python scripts/verify_extension_release.py,FAIL,"Current checked-out config is development with HTTP loopback; release verifier rejects it",EXT-F001
EXT-F02,Extension,Popup keeps website/email outcomes independent and uses non-guarantee wording,popup/popup.js and popup.html,test_popup_email_explanation.PopupEmailExplanationTests.*; project invariants,PASS,"Static popup logic and wording tests pass; loaded-extension visual check not performed",
WEB-F01,Web Application,Public and authenticated navigation routes render,web/app/BantAIApp.jsx and views,npm direct local eslint; vinext build; rendered-html.test.mjs,PASS,"Direct local lint/build and six rendered HTML tests pass; npm wrapper unavailable in host environment",
WEB-F02,Web Application,Dashboard routes call existing authenticated API contracts,web/app/api.js and views,route inventory plus rendered-html.test.mjs,PASS,"Consumed endpoint paths match the public platform route inventory",
WEB-F03,Web Application,Admin UI is role-gated and backend protected,web/app/BantAIApp.jsx plus admin dependencies,shared_platform.tests.test_platform.PlatformTests.test_regular_user_cannot_access_admin_api; test_admin_is_aggregate_only_and_cannot_suspend_self,PASS,"Normal-user denial and admin mutations covered",
ACT-F01,Activity,Completed detections persist owner-scoped metadata idempotently,ActivityEvent and remote detection routes,shared_platform.tests.test_platform.PlatformTests.test_remote_url_detection_is_authenticated_idempotent_and_origin_only; test_remote_email_detection_samples_once_and_context_is_account_scoped,PASS,"Origin/email metadata, owner/device binding, idempotency, and no raw body activity storage covered",
FB-F01,Feedback,Explicit URL/email feedback requires matching detection and confirmation,report routes and schemas,shared_platform.tests.test_platform.PlatformTests.test_device_feedback_requires_explicit_input_and_exact_detection; test_device_email_feedback_requires_a_matching_detection_and_encrypts_the_body,PASS,"Ownership, duplicate, mismatch, and encryption paths covered",
DB-F01,Database,Migration chain reaches one latest revision,shared_platform/alembic revisions 0001 through 0014,alembic heads; offline upgrade attempt,PARTIAL,"0014_centralized_rate_limits is the sole head; no disposable MySQL run was available and offline SQL stops at 0011 inspect(bind)",DB-F001
DB-F02,Database,Persistence constraints and retention operate,SQLAlchemy models and cleanup_expired,shared_platform.tests.test_platform.PlatformTests.test_cleanup_removes_activity_older_than_ninety_days; test_concurrent_detection_retries_validate_the_unique_insert_winner,PASS,"Synthetic SQLite-backed persistence tests cover retention, constraints, rollback/idempotency",
RATE-F01,Rate Limiting,Shared rate limits use identity-scoped database buckets and trusted proxy behavior,shared_platform/app/rate_limit.py and migration 0014,shared_platform.tests.test_platform.PlatformTests.test_shared_rate_limit_is_identity_scoped_and_survives_new_instances; test_rate_limit_uses_forwarded_identity_only_from_a_trusted_proxy,PASS,"Functional limiter and proxy-header scenarios pass",
API-F01,API Contracts,Public API exposes health/live/ready and authenticated route families,shared_platform/app/main.py route inventory,route enumeration plus shared-platform tests,PASS,"Public, web-session, device, activity, report, cloud, and admin endpoints enumerated",
DEPLOY-F01,Deployment Configuration,Production compose resolves from documented environment template,docker-compose.yml and .env.example,docker compose --env-file .env.example config,FAIL,"Required BANTAI_TRUSTED_PROXY_CIDRS is missing from root .env.example; compose interpolation fails",FUNC-001
DEPLOY-F02,Deployment Configuration,Production readiness checks database and detector models,shared_platform/app/main.py /ready and detector gateway,verify_project.py; shared platform gateway tests,PASS,"Readiness contract is present and dependency failure maps to 503; live stack not started",
PRIV-F01,Privacy Behavior,Raw email bodies are not routinely persisted or logged,activity/report models,project invariants; activity/privacy tests,PASS,"Encrypted explicit reports and transient context behavior pass; no real private data used",
OFF-F01,Offline/Degraded Operation,Local/model results remain useful when cloud review is unavailable,backend fusion and cloud unavailable envelopes,test_fusion_engine.FusionEngineTests.test_llm_unavailable_still_uses_local_analysis; test_url_fusion_engine.UrlFusionEngineTests.test_unavailable_ai_preserves_local_warning,PASS,"Local detector and indicator evidence survive cloud failure",
COMP-F01,Companion,Legacy companion role is optional/development-only and handles pairing/outbox states,companion/app.py and backend/companion.py,test_companion.CompanionManagerTests.*; test_companion.py,PASS,"Synthetic companion credential, restart, queue, and context-loss cases pass; production use not required",
BROWSER-F01,Browser Compatibility,Chrome/Edge MV3 behavior is validated interactively,extension manifest and content scripts,interactive browser audit,NOT TESTABLE,"No live Chrome/Edge extension load or supported mail DOM session was performed; only Node syntax/static tests were run",
